"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"359","6/22/51",38.4027,127.96926,6200
"360","6/22/51",38.41759,127.65978,7200
"361","6/22/51",38.30407,128.02784,7200
"362","6/22/51",38.29525,128.05083,7200
"363","6/22/51",38.41943,127.83157,7200
"364","6/22/51",38.43077,128.09489,14400
"365","6/22/51",38.49019,127.7043,14400
"366","6/22/51",38.26692,127.9026,14400
"367","6/22/51",38.48914,127.61259,14400
"368","6/22/51",38.36724,128.03845,14400
"369","6/22/51",38.38615,128.15269,14400
"371","6/22/51",38.42904,126.25058,3000
"372","6/22/51",38.03347,125.71178,3000
"373","6/22/51",38.50105,125.75216,6000
"374","6/22/51",38.49907,127.69267,20000
"375","6/22/51",38.3997,127.67156,20000
"377","6/23/51",38.22587,126.42958,6000
"378","6/23/51",38.4121,125.70298,6000
"380","6/23/51",38.52496,125.48927,2000
"381","6/23/51",39.40759,125.89199,3500
"382","6/23/51",39.31018,125.4241,4500
"383","6/23/51",38.43801,127.88856,9500
"384","6/23/51",38.38572,128.09545,10500
"385","6/23/51",38.52496,125.48927,16000
"387","6/23/51",39.40759,125.89199,33500
"388","6/23/51",39.31018,125.4241,42000
"389","6/24/51",39.83209,127.64438,2900
"390","6/24/51",39.53275,125.54817,8600
"391","6/24/51",38.64426,125.7921,8600
"392","6/24/51",39.83209,127.64438,11500
"393","6/24/51",39.53275,125.54817,34600
"394","6/24/51",38.64426,125.7921,34600
"395","6/24/51",38.41665,127.57962,6000
"397","6/24/51",38.49881,127.66974,10000
"398","6/24/51",38.49117,127.79601,10000
"399","6/24/51",38.3505,128.21033,16500
"402","6/25/51",38.43723,125.7841,8600
"403","6/25/51",38.42904,126.25058,12000
"405","6/25/51",38.43723,125.7841,34600
"406","6/25/51",38.42904,126.25058,48000
"407","6/25/51",38.37092,126.47023,6000
"408","6/25/51",38.4121,125.70298,12000
"409","6/25/51",38.33183,128.119,2000
"410","6/25/51",38.47766,127.41793,2000
"411","6/25/51",38.33183,128.119,18000
"412","6/25/51",38.47766,127.41793,18000
"417","6/26/51",38.49746,125.51126,8600
"418","6/26/51",39.2987,125.53966,11400
"419","6/26/51",38.49746,125.51126,34600
"420","6/26/51",39.2987,125.53966,45600
"421","6/26/51",38.69635,127.6086,6000
"422","6/26/51",38.51032,125.74105,2000
"425","6/26/51",38.51032,125.74105,16500
"427","6/27/51",38.3244,126.40323,2900
"428","6/27/51",38.32183,126.71213,2900
"429","6/27/51",38.36549,126.64209,2900
"430","6/27/51",38.3244,126.40323,11500
"431","6/27/51",38.32183,126.71213,11500
"432","6/27/51",38.36549,126.64209,11500
"433","6/27/51",40.02452,127.95699,19800
"434","6/27/51",40.02452,127.95699,79200
"435","6/27/51",38.57555,128.17343,5000
"436","6/27/51",38.55261,127.6458,8500
